"","CID","Nome"
"31","V10","Ciclista traumatizado em colisão com um pedestre ou um animal"
"32","V10.0","Ciclista traumatizado em colisão com um pedestre ou um animal - condutor traumatizado em acidente não-de-trânsito"
"33","V10.1","Ciclista traumatizado em colisão com um pedestre ou um animal - passageiro traumatizado em acidente não-de-trânsito"
"34","V10.2","Ciclista traumatizado em colisão com um pedestre ou um animal - ciclista não especificado traumatizado em acidente não-de-trânsito"
"35","V10.3","Ciclista traumatizado em colisão com um pedestre ou um animal - pessoa traumatizada ao subir ou descer do veículo"
"36","V10.4","Ciclista traumatizado em colisão com um pedestre ou um animal - condutor traumatizado em um acidente de trânsito"
"37","V10.5","Ciclista traumatizado em colisão com um pedestre ou um animal - passageiro traumatizado em um acidente de trânsito"
"38","V10.9","Ciclista traumatizado em colisão com um pedestre ou um animal - ciclista não especificado traumatizado em um acidente de trânsito"
"39","V11","Ciclista traumatizado em colisão com outro veículo a pedal"
"40","V11.0","Ciclista traumatizado em colisão com outro veículo a pedal - condutor traumatizado em acidente não-de-trânsito"
"41","V11.1","Ciclista traumatizado em colisão com outro veículo a pedal - passageiro traumatizado em acidente não-de-trânsito"
"42","V11.2","Ciclista traumatizado em colisão com outro veículo a pedal - ciclista não especificado traumatizado em acidente não-de-trânsito"
"43","V11.3","Ciclista traumatizado em colisão com outro veículo a pedal - pessoa traumatizada ao subir ou descer do veículo"
"44","V11.4","Ciclista traumatizado em colisão com outro veículo a pedal - condutor traumatizado em um acidente de trânsito"
"45","V11.5","Ciclista traumatizado em colisão com outro veículo a pedal - passageiro traumatizado em um acidente de trânsito"
"46","V11.29","Ciclista traumatizado em colisão com outro veículo a pedal - ciclista não especificado traumatizado em um acidente de trânsito"
"47","V12","Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas"
"48","V12.0","Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas - condutor traumatizado em acidente não-de-trânsito"
"49","V12.1","Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas - passageiro traumatizado em acidente não-de-trânsito"
"50","V12.2","Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas - ciclista não especificado traumatizado em acidente não-de-trânsito"
"51","V12.3","Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas - pessoa traumatizada ao subir ou descer do veículo"
"52","V12.4","Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas - condutor traumatizado em um acidente de trânsito"
"53","V12.5","Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas - passageiro traumatizado em um acidente de trânsito"
"54","V12.9","Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas - ciclista não especificado traumatizado em um acidente de trânsito"
"55","V13","Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete"""
"56","V13.0","Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete - condutor traumatizado em acidente não-de-trânsito"
"57","V13.1","Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete - passageiro traumatizado em acidente não-de-trânsito"
"58","V13.2","Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete - ciclista não especificado traumatizado em acidente não-de-trânsito"
"59","V13.3","Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete - pessoa traumatizada ao subir ou descer do veículo"
"60","V13.4","Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete - condutor traumatizado em um acidente de trânsito"
"61","V13.5","Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete - passageiro traumatizado em um acidente de trânsito"
"62","V13.9","Ciclista traumatizado em colisão com um automóvel, """"pick up"""" ou caminhonete - ciclista não especificado traumatizado em um acidente de trânsito"
"63","V14","Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus"
"64","V14.0","Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus - condutor traumatizado em acidente não-de-trânsito"
"65","V14.1","Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus - passageiro traumatizado em acidente não-de-trânsito"
"66","V14.2","Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus - ciclista não especificado traumatizado em acidente não-de-trânsito"
"67","V14.3","Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus - pessoa traumatizada ao subir ou descer do veículo"
"68","V14.4","Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus - condutor traumatizado em um acidente de trânsito"
"69","V14.5","Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus - passageiro traumatizado em um acidente de trânsito"
"70","V14.9","Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus - ciclista não especificado traumatizado em um acidente de trânsito"
"71","V15","Ciclista traumatizado em colisão com um trem ou um veículo ferroviário"
"72","V15.0","Ciclista traumatizado em colisão com um trem ou um veículo ferroviário - condutor traumatizado em acidente não-de-trânsito"
"73","V15.1","Ciclista traumatizado em colisão com um trem ou um veículo ferroviário - passageiro traumatizado em acidente não-de-trânsito"
"74","V15.2","Ciclista traumatizado em colisão com um trem ou um veículo ferroviário - ciclista não especificado traumatizado em acidente não-de-trânsito"
"75","V15.3","Ciclista traumatizado em colisão com um trem ou um veículo ferroviário - pessoa traumatizada ao subir ou descer do veículo"
"76","V15.4","Ciclista traumatizado em colisão com um trem ou um veículo ferroviário - condutor traumatizado em um acidente de trânsito"
"77","V15.5","Ciclista traumatizado em colisão com um trem ou um veículo ferroviário - passageiro traumatizado em um acidente de trânsito"
"78","V15.9","Ciclista traumatizado em colisão com um trem ou um veículo ferroviário - ciclista não especificado traumatizado em um acidente de trânsito"
"79","V16","Ciclista traumatizado em colisão com outro veículo não-motorizado"
"80","V16.0","Ciclista traumatizado em colisão com outro veículo não-motorizado - condutor traumatizado em acidente não-de-trânsito"
"81","V16.1","Ciclista traumatizado em colisão com outro veículo não-motorizado - passageiro traumatizado em acidente não-de-trânsito"
"82","V16.2","Ciclista traumatizado em colisão com outro veículo não-motorizado - ciclista não especificado traumatizado em acidente não-de-trânsito"
"83","V16.3","Ciclista traumatizado em colisão com outro veículo não-motorizado - pessoa traumatizada ao subir ou descer do veículo"
"84","V16.4","Ciclista traumatizado em colisão com outro veículo não-motorizado - condutor traumatizado em um acidente de trânsito"
"85","V16.5","Ciclista traumatizado em colisão com outro veículo não-motorizado - passageiro traumatizado em um acidente de trânsito"
"86","V16.9","Ciclista traumatizado em colisão com outro veículo não-motorizado - ciclista não especificado traumatizado em um acidente de trânsito"
"87","V17","Ciclista traumatizado em colisão com um objeto fixo ou parado"
"88","V17.0","Ciclista traumatizado em colisão com um objeto fixo ou parado - condutor traumatizado em acidente não-de-trânsito"
"89","V17.1","Ciclista traumatizado em colisão com um objeto fixo ou parado - passageiro traumatizado em acidente não-de-trânsito"
"90","V17.2","Ciclista traumatizado em colisão com um objeto fixo ou parado - ciclista não especificado traumatizado em acidente não-de-trânsito"
"91","V17.3","Ciclista traumatizado em colisão com um objeto fixo ou parado - pessoa traumatizada ao subir ou descer do veículo"
"92","V17.4","Ciclista traumatizado em colisão com um objeto fixo ou parado - condutor traumatizado em um acidente de trânsito"
"93","V17.5","Ciclista traumatizado em colisão com um objeto fixo ou parado - passageiro traumatizado em um acidente de trânsito"
"94","V17.9","Ciclista traumatizado em colisão com um objeto fixo ou parado - ciclista não especificado traumatizado em um acidente de trânsito"
"95","V18","Ciclista traumatizado em um acidente de transporte sem colisão"
"96","V18.0","Ciclista traumatizado em um acidente de transporte sem colisão - condutor traumatizado em acidente não-de-trânsito"
"97","V18.1","Ciclista traumatizado em um acidente de transporte sem colisão - passageiro traumatizado em acidente não-de-trânsito"
"98","V18.2","Ciclista traumatizado em um acidente de transporte sem colisão - ciclista não especificado traumatizado em acidente não-de-trânsito"
"99","V18.3","Ciclista traumatizado em um acidente de transporte sem colisão - pessoa traumatizada ao subir ou descer do veículo"
"100","V18.4","Ciclista traumatizado em um acidente de transporte sem colisão - condutor traumatizado em um acidente de trânsito"
"101","V18.5","Ciclista traumatizado em um acidente de transporte sem colisão - passageiro traumatizado em um acidente de trânsito"
"102","V18.9","Ciclista traumatizado em um acidente de transporte sem colisão - ciclista não especificado traumatizado em um acidente de trânsito"
"103","V19","Ciclista traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados"
"104","V19.0","Condutor traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
"105","V19.1","Passageiro traumatizado em colisão com outro veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
"106","V19.2","Ciclista não especificado traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
"107","V19.3","Ciclista (qualquer) traumatizado em um acidente não especificado e não-de-trânsito"
"108","V19.4","Condutor traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
"109","V19.5","Passageiro traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
"110","V19.6","Ciclista não especificado traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
"111","V19.8","Ciclista (qualquer) traumatizado em outros acidentes de transporte especificados"
"112","V19.9","Ciclista (qualquer) traumatizado em um acidente de trânsito não especificado"
"113","V20","Motociclista traumatizado em colisão com um pedestre ou um animal"
"114","V20.0","Motociclista traumatizado em colisão com um pedestre ou um animal - condutor traumatizado em acidente não-de-trânsito"
"115","V20.1","Motociclista traumatizado em colisão com um pedestre ou um animal - passageiro traumatizado em acidente não-de-trânsito"
"116","V20.2","Motociclista traumatizado em colisão com um pedestre ou um animal - motociclista não especificado traumatizado em acidente não-de-trânsito"
"117","V20.3","Motociclista traumatizado em colisão com um pedestre ou um animal - pessoa traumatizado ao subir ou descer do veículo"
"118","V20.4","Motociclista traumatizado em colisão com um pedestre ou um animal - condutor traumatizado em um acidente de trânsito"
"119","V20.5","Motociclista traumatizado em colisão com um pedestre ou um animal - passageiro traumatizado em um acidente de trânsito"
"120","V20.9","Motociclista traumatizado em colisão com um pedestre ou um animal - motociclista não especificado traumatizado em um acidente de trânsito"
"121","V21","Motociclista traumatizado em colisão com um veículo a pedal"
"122","V21.0","Motociclista traumatizado em colisão com um veículo a pedal - condutor traumatizado em acidente não-de-trânsito"
"123","V21.1","Motociclista traumatizado em colisão com um veículo a pedal - passageiro traumatizado em acidente não-de-trânsito"
"124","V21.2","Motociclista traumatizado em colisão com um veículo a pedal - motociclista não especificado traumatizado em acidente não-de-trânsito"
"125","V21.3","Motociclista traumatizado em colisão com um veículo a pedal - pessoa traumatizado ao subir ou descer do veículo"
"126","V21.4","Motociclista traumatizado em colisão com um veículo a pedal - condutor traumatizado em um acidente de trânsito"
"127","V21.5","Motociclista traumatizado em colisão com um veículo a pedal - passageiro traumatizado em um acidente de trânsito"
"128","V21.9","Motociclista traumatizado em colisão com um veículo a pedal - motociclista não especificado traumatizado em um acidente de trânsito"
"129","V22","Motociclista traumatizado em colisão com um veículo a motor de duas ou três rodas"
"130","V22.0","Motociclista traumatizado em colisão com um veículo a motor de duas ou três rodas - condutor traumatizado em acidente não-de-trânsito"
"131","V22.1","Motociclista traumatizado em colisão com um veículo a motor de duas ou três rodas - passageiro traumatizado em acidente não-de-trânsito"
"132","V22.2","Motociclista traumatizado em colisão com um veículo a motor de duas ou três rodas - motociclista não especificado traumatizado em acidente não-de-trânsito"
"133","V22.3","Motociclista traumatizado em colisão com um veículo a motor de duas ou três rodas - pessoa traumatizado ao subir ou descer do veículo"
"134","V22.4","Motociclista traumatizado em colisão com um veículo a motor de duas ou três rodas - condutor traumatizado em um acidente de trânsito"
"135","V22.5","Motociclista traumatizado em colisão com um veículo a motor de duas ou três rodas - passageiro traumatizado em um acidente de trânsito"
"136","V22.9","Motociclista traumatizado em colisão com um veículo a motor de duas ou três rodas - motociclista não especificado traumatizado em um acidente de trânsito"
"137","V23","Motociclista traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete"
"138","V23.0","Reação anormal em paciente ou complicação tardia, causadas por intervenção cirúrgica com anastomose, derivação (""bypass"") ou enxerto, sem menção de acidente durante a intervenção"
"139","V23.1","Motociclista traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete - passageiro traumatizado em acidente não-de-trânsito"
"140","V23.2","Motociclista traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete - motociclista não especificado traumatizado em acidente não-de-trânsito"
"141","V23.3","Motociclista traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete - pessoa traumatizado ao subir ou descer do veículo"
"142","V23.4","Motociclista traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete - condutor traumatizado em um acidente de trânsito"
"143","V23.5","Motociclista traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete - passageiro traumatizado em um acidente de trânsito"
"144","V23.9","Motociclista traumatizado em colisão com um automóvel (carro), ""pick up"" ou caminhonete - motociclista não especificado traumatizado em um acidente de trânsito"
"145","V24","Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus"
"146","V24.0","Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus - condutor traumatizado em acidente não-de-trânsito"
"147","V24.1","Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus - passageiro traumatizado em acidente não-de-trânsito"
"148","V24.2","Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus - motociclista não especificado traumatizado em acidente não-de-trânsito"
"149","V24.3","Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus - pessoa traumatizado ao subir ou descer do veículo"
"150","V24.4","Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus - condutor traumatizado em um acidente de trânsito"
"151","V24.5","Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus - passageiro traumatizado em um acidente de trânsito"
"152","V24.9","Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus - motociclista não especificado traumatizado em um acidente de trânsito"
"153","V25","Motociclista traumatizado em colisão com um trem ou um veículo ferroviário"
"154","V25.0","Motociclista traumatizado em colisão com um trem ou um veículo ferroviário - condutor traumatizado em acidente não-de-trânsito"
"155","V25.1","Motociclista traumatizado em colisão com um trem ou um veículo ferroviário - passageiro traumatizado em acidente não-de-trânsito"
"156","V25.2","Motociclista traumatizado em colisão com um trem ou um veículo ferroviário - motociclista não especificado traumatizado em acidente não-de-trânsito"
"157","V25.3","Motociclista traumatizado em colisão com um trem ou um veículo ferroviário - pessoa traumatizado ao subir ou descer do veículo"
"158","V25.4","Motociclista traumatizado em colisão com um trem ou um veículo ferroviário - condutor traumatizado em um acidente de trânsito"
"159","V25.5","Motociclista traumatizado em colisão com um trem ou um veículo ferroviário - passageiro traumatizado em um acidente de trânsito"
"160","V25.9","Motociclista traumatizado em colisão com um trem ou um veículo ferroviário - motociclista não especificado traumatizado em um acidente de trânsito"
"161","V26","Motociclista traumatizado em colisão com outro veículo não-motorizado"
"162","V26.0","Motociclista traumatizado em colisão com outro veículo não-motorizado - condutor traumatizado em acidente não-de-trânsito"
"163","V26.1","Motociclista traumatizado em colisão com outro veículo não-motorizado - passageiro traumatizado em acidente não-de-trânsito"
"164","V26.2","Motociclista traumatizado em colisão com outro veículo não-motorizado - motociclista não especificado traumatizado em acidente não-de-trânsito"
"165","V26.3","Motociclista traumatizado em colisão com outro veículo não-motorizado - pessoa traumatizado ao subir ou descer do veículo"
"166","V26.4","Motociclista traumatizado em colisão com outro veículo não-motorizado - condutor traumatizado em um acidente de trânsito"
"167","V26.5","Motociclista traumatizado em colisão com outro veículo não-motorizado - passageiro traumatizado em um acidente de trânsito"
"168","V26.9","Motociclista traumatizado em colisão com outro veículo não-motorizado - motociclista não especificado traumatizado em um acidente de trânsito"
"169","V27","Motociclista traumatizado em colisão com um objeto fixo ou parado"
"170","V27.0","Motociclista traumatizado em colisão com um objeto fixo ou parado - condutor traumatizado em acidente não-de-trânsito"
"171","V27.1","Motociclista traumatizado em colisão com um objeto fixo ou parado - passageiro traumatizado em acidente não-de-trânsito"
"172","V27.2","Motociclista traumatizado em colisão com um objeto fixo ou parado - motociclista não especificado traumatizado em acidente não-de-trânsito"
"173","V27.3","Motociclista traumatizado em colisão com um objeto fixo ou parado - pessoa traumatizado ao subir ou descer do veículo"
"174","V27.4","Motociclista traumatizado em colisão com um objeto fixo ou parado - condutor traumatizado em um acidente de trânsito"
"175","V27.5","Motociclista traumatizado em colisão com um objeto fixo ou parado - passageiro traumatizado em um acidente de trânsito"
"176","V27.9","Motociclista traumatizado em colisão com um objeto fixo ou parado - motociclista não especificado traumatizado em um acidente de trânsito"
"177","V28","Motociclista traumatizado em um acidente de transporte sem colisão"
"178","V28.0","Motociclista traumatizado em um acidente de transporte sem colisão - condutor traumatizado em acidente não-de-trânsito"
"179","V28.1","Motociclista traumatizado em um acidente de transporte sem colisão - passageiro traumatizado em acidente não-de-trânsito"
"180","V28.2","Motociclista traumatizado em um acidente de transporte sem colisão - motociclista não especificado traumatizado em acidente não-de-trânsito"
"181","V28.3","Motociclista traumatizado em um acidente de transporte sem colisão - pessoa traumatizado ao subir ou descer do veículo"
"182","V28.4","Motociclista traumatizado em um acidente de transporte sem colisão - condutor traumatizado em um acidente de trânsito"
"183","V28.5","Motociclista traumatizado em um acidente de transporte sem colisão - passageiro traumatizado em um acidente de trânsito"
"184","V28.9","Motociclista traumatizado em um acidente de transporte sem colisão - motociclista não especificado traumatizado em um acidente de trânsito"
"185","V29","Motociclista traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados"
"186","V29.0","Condutor traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
"187","V29.1","Passageiro traumatizado em colisão com outros veículos com veículos não especificados, a motor, em um acidente não-de-trânsito"
"188","V29.2","Motociclista não especificado traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
"189","V29.3","Motociclista (qualquer) traumatizado em um acidente não especificado, não-de-trânsito"
"190","V29.4","Condutor traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
"191","V29.5","Passageiro traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
"192","V29.6","Motociclista não especificado traumatizado em colisão com outros veículos e com veículos não especificados, a motor em um acidente de trânsito"
"193","V29.8","Motociclista (qualquer) traumatizado em outros acidentes de transporte especificados"
"194","V29.9","Motociclista (qualquer) traumatizado em um acidente de trânsito não especificado"
"195","V30","Ocupante de um triciclo motorizado traumatizado em colisão com um pedestre ou um animal"
"196","V30.0","Ocupante de um triciclo motorizado traumatizado em colisão com um pedestre ou um animal - condutor traumatizado em acidente não-de-trânsito"
"197","V30.1","Ocupante de um triciclo motorizado traumatizado em colisão com um pedestre ou um animal - passageiro traumatizado em acidente não-de-trânsito"
"198","V30.2","Ocupante de um triciclo motorizado traumatizado em colisão com um pedestre ou um animal - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"199","V30.3","Ocupante de um triciclo motorizado traumatizado em colisão com um pedestre ou um animal - ocupante não especificado de um triciclo motorizado traumatizado em acidente não-de-trânsito"
"200","V30.4","Ocupante de um triciclo motorizado traumatizado em colisão com um pedestre ou um animal - pessoa traumatizada ao subir ou descer do veículo"
"201","V30.5","Ocupante de um triciclo motorizado traumatizado em colisão com um pedestre ou um animal - condutor traumatizado em um acidente de trânsito"
"202","V30.6","Ocupante de um triciclo motorizado traumatizado em colisão com um pedestre ou um animal - passageiro traumatizado em um acidente de trânsito"
"203","V30.7","Ocupante de um triciclo motorizado traumatizado em colisão com um pedestre ou um animal - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"204","V30.9","Ocupante de um triciclo motorizado traumatizado em colisão com um pedestre ou um animal - ocupante não especificado de um triciclo motorizado traumatizado em um acidente de trânsito"
"205","V31","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo a pedal"
"206","V31.0","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo a pedal - condutor traumatizado em acidente não-de-trânsito"
"207","V31.1","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo a pedal - passageiro traumatizado em acidente não-de-trânsito"
"208","V31.2","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo a pedal - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"209","V31.3","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo a pedal - ocupante não especificado de um triciclo motorizado traumatizado em acidente não-de-trânsito"
"210","V31.4","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo a pedal - pessoa traumatizada ao subir ou descer do veículo"
"211","V31.5","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo a pedal - condutor traumatizado em um acidente de trânsito"
"212","V31.6","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo a pedal - passageiro traumatizado em um acidente de trânsito"
"213","V31.7","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo a pedal - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"214","V31.9","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo a pedal - ocupante não especificado de um triciclo motorizado traumatizado em um acidente de trânsito"
"215","V32","Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo a motor de duas ou três rodas"
"216","V32.0","Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo a motor de duas ou três rodas - condutor traumatizado em acidente não-de-trânsito"
"217","V32.1","Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo a motor de duas ou três rodas - passageiro traumatizado em acidente não-de-trânsito"
"218","V32.2","Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo a motor de duas ou três rodas - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"219","V32.3","Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo a motor de duas ou três rodas - ocupante não especificado de um triciclo motorizado traumatizado em acidente não-de-trânsito"
"220","V32.4","Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo a motor de duas ou três rodas - pessoa traumatizada ao subir ou descer do veículo"
"221","V32.5","Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo a motor de duas ou três rodas - condutor traumatizado em um acidente de trânsito"
"222","V32.6","Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo a motor de duas ou três rodas - passageiro traumatizado em um acidente de trânsito"
"223","V32.7","Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo a motor de duas ou três rodas - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"224","V32.9","Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo a motor de duas ou três rodas - ocupante não especificado de um triciclo motorizado traumatizado em um acidente de trânsito"
"225","V33","Ocupante de um triciclo motorizado traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete"
"226","V33.0","Ocupante de um triciclo motorizado traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete - condutor traumatizado em acidente não-de-trânsito"
"227","V33.1","Ocupante de um triciclo motorizado traumatizado em colisão com um automóvel, """"pick up"""" ou caminhonete - passageiro traumatizado em acidente não-de-trânsito"
"228","V33.2","Ocupante de um triciclo motorizado traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
"229","V33.3","Ocupante de um triciclo motorizado traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete - ocupante não especificado de um triciclo motorizado traumatizado em acidente não-de-trânsito"
"230","V33.4","Ocupante de um triciclo motorizado traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete - pessoa traumatizada ao subir ou descer do veículo"
"231","V33.5","Ocupante de um triciclo motorizado traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete - condutor traumatizado em um acidente de trânsito"
"232","V33.6","Ocupante de um triciclo motorizado traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete - passageiro traumatizado em um acidente de trânsito"
"233","V33.7","Ocupante de um triciclo motorizado traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito"
"234","V33.9","Ocupante de um triciclo motorizado traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete - ocupante não especificado de um triciclo motorizado traumatizado em um acidente de trânsito"
"235","V34","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo de transporte pesado ou um ônibus"
"236","V34.0","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo de transporte pesado ou um ônibus - condutor traumatizado em acidente não-de-trânsito"
"237","V34.1","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo de transporte pesado ou um ônibus - passageiro traumatizado em acidente não-de-trânsito"
"238","V34.2","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo de transporte pesado ou um ônibus - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito"
